Row	stim	GroupCount	mean_syl_ons2ons_1	mean_syl_ons2ons_2	std_syl_ons2ons_1	std_syl_ons2ons_2	min_syl_ons2ons_1	min_syl_ons2ons_2	max_syl_ons2ons_1	max_syl_ons2ons_2	range_syl_ons2ons_1	range_syl_ons2ons_2
gheevahtoo	gheevahtoo	56	0.434406553807546	0.903990037966307	0.0224786674750183	0.0349546405043522	0.404733714400209	0.868139129001065	0.524700381000002	0.968239128997084	0.119966666599794	0.100099999996019
gheeveevah	gheeveevah	45	0.431169743810063	0.895419319334492	0.0142934969388655	0.0260113476119606	0.407753077699454	0.864700381003786	0.46778640600678	0.964767037701677	0.0600333283073269	0.100066656697891
gheevooghah	gheevooghah	54	0.42326949451987	0.961439419708687	0.0234978106115357	0.0317846370416017	0.386726531694876	0.926966827406432	0.515359865006758	1.02700016070594	0.128633333311882	0.100033333299507
gheevoosah	gheevoosah	103	0.420059089714675	0.895388127644119	0.0190643205376912	0.0331246323205104	0.386726531702152	0.861877782997908	0.455359866697108	0.961977783001203	0.0686333349949564	0.100100000003295
gheevootah	gheevootah	57	0.420793198195826	0.896381820830963	0.0172144039304718	0.0327247415205199	0.395259864999389	0.863774876699608	0.455326531700848	0.963874876695627	0.0600666667014593	0.100099999996019
ghoogheeghah	ghoogheeghah	55	0.458315541293081	0.952493356194547	0.019380308266838	0.0352290633007998	0.430255541301449	0.917222368698276	0.49035554130387	1.03718903529807	0.0601000000024214	0.119966666599794
ghoosahtee	ghoosahtee	202	0.418604536303428	0.883627745380758	0.0172472357773288	0.0299771201531455	0.392199991001689	0.851147078894428	0.512266657693544	0.971147078998911	0.120066666691855	0.120000000104483
ghoosahvee	ghoosahvee	49	0.416274990856399	0.885455557505143	0.0186955305357636	0.0310753169901806	0.392199991001689	0.858008618997701	0.45233332439966	0.958108619000996	0.060133333397971	0.100100000003295
ghoosahvoo	ghoosahvoo	63	0.421666657479006	0.878395187378716	0.023932843631799	0.0289243185803056	0.392233324302651	0.845648739697936	0.562166657698981	0.945682072997442	0.16993333339633	0.100033333299507
ghooseetah	ghooseetah	104	0.418562204728551	0.886589317159914	0.019532516571562	0.0360648163357559	0.371682593300648	0.834163751300366	0.511682593300065	1.08416375130037	0.139999999999418	0.25
ghootahsee	ghootahsee	59	0.41986827104413	0.885981443783402	0.0177792580156727	0.0325406775474268	0.394163751298038	0.851649259995611	0.454263751300459	0.951782593299868	0.0601000000024214	0.100133333304257
ghooteesah	ghooteesah	91	0.415035967667043	0.881652425004028	0.0159783103593701	0.0293999953236613	0.391147075701156	0.852166651005973	0.451280412402411	0.95233332439966	0.0601333367012558	0.100166673393687
ghoovahsee	ghoovahsee	89	0.420053675027396	0.882180320375989	0.0181977587308779	0.0282167986533208	0.381789255698095	0.851615929997934	0.495055922401662	0.951782593299868	0.113266666703566	0.100166663301934
ghoovahtee	ghoovahtee	63	0.41988978460162	0.881588348516021	0.0158057196207919	0.0291022402855477	0.395055922301253	0.851147078996291	0.455155922303675	0.951247079006862	0.0601000000024214	0.100100000010571
ghooveesah	ghooveesah	146	0.424202911128713	0.881608787066423	0.0187648174956154	0.0281097698267792	0.397975285603025	0.852166651005973	0.558075285596715	0.952299991004111	0.16009999999369	0.100133339998138
ghooveetah	ghooveetah	115	0.42335423295022	0.884260242385703	0.017859655240381	0.0332474249848039	0.374641952294041	0.817730417998973	0.458141952301958	0.974130417998822	0.0835000000079162	0.156399999999849
sahgheevoo	sahgheevoo	55	0.507313883631286	0.924486402861375	0.0188502931554849	0.0346985053634175	0.477988883700164	0.884715415297251	0.538022216998797	0.99334875200293	0.0600333332986338	0.10863333670568
sahghootah	sahghootah	47	0.514382987573096	0.935687164297827	0.0176146580237911	0.0318655805303265	0.487633342301706	0.901830426999368	0.547700008995889	1.0018970937017	0.0600666666941834	0.100066666702332
sahghootee	sahghootee	59	0.513561997134514	0.9308406548981	0.0173766416188027	0.0326652377778396	0.487633342301706	0.898847087999457	0.547700008995889	1.01888042130304	0.0600666666941834	0.120033333303581
sahghoovee	sahghoovee	60	0.514620123772053	0.938780466736277	0.0182784366104501	0.0302333677673666	0.467733342404244	0.885708628004068	0.567633342303452	1.0057752947032	0.0998999998992076	0.120066666699131
sahseevah	sahseevah	47	0.463582602193296	0.933274771624205	0.0170293197692885	0.0307759099494921	0.439415934000863	0.902722594699298	0.499449269002071	1.00278926469764	0.0600333350012079	0.100066669998341
sahsootee	sahsootee	36	0.469975189849113	0.927160421240218	0.0106285717191645	0.0260707104107239	0.46567619999405	0.898880421300419	0.50577619500109	1.01891375469859	0.04009999500704	0.120033333398169
sahteeghoo	sahteeghoo	152	0.462939929072887	0.977766675486978	0.0162267543871013	0.0329250272368776	0.435747087998607	0.941700008996122	0.498947089705325	1.14756667560141	0.0632000017067185	0.205866666605289
sahtooghee	sahtooghee	41	0.469049379850334	0.967969716330026	0.0163789423804621	0.0332002679235093	0.416228012698411	0.907955550304905	0.506261341004574	1.09788888360345	0.0900333283061627	0.189933333298541
sahtoovee	sahtoovee	109	0.47209498505552	0.939868566658448	0.017831554475118	0.0354515851356007	0.426228012700449	0.905708628000866	0.506261346003157	1.10570862799796	0.0800333333027083	0.19999999999709
sahvahghoo	sahvahghoo	62	0.472112597965562	0.984487987041791	0.0239807364880337	0.0462047318612661	0.442755931399006	0.947600008999871	0.602789264601597	1.24760000900278	0.160033333202591	0.30000000000291
sahveeghoo	sahveeghoo	56	0.473106842234977	0.979061318414412	0.0178427458505775	0.0332275596800262	0.445708628001739	0.947600008999871	0.505808629699459	1.04770000899589	0.0601000016977196	0.100099999996019
sahveesoo	sahveesoo	88	0.468181246962212	0.935255468085393	0.0183579191172515	0.0353700401451853	0.405841961299302	0.865742866604705	0.505808628004161	1.08567619999667	0.0999666667048587	0.219933333391964
sahveetoo	sahveetoo	54	0.472443195778295	0.938012580320707	0.0169012572334626	0.0296790800407892	0.445741961295425	0.906161345999863	0.505808628004161	1.00626134600316	0.0600666667087353	0.100100000003295
sahvooghee	sahvooghee	89	0.455693445552341	0.968064208132818	0.0169805279398157	0.0286383822464459	0.424715415298124	0.937922216995503	0.493382082000608	1.0380222169988	0.0686666667024838	0.100100000003295
sahvoosee	sahvoosee	54	0.461806440833383	0.931540294373358	0.0284663468841194	0.0297301129751577	0.433315415299148	0.899349268998776	0.593315415397228	0.999449269002071	0.16000000009808	0.100100000003295
seeghahtoo	seeghahtoo	59	0.529516383470157	0.937955936536399	0.0191015863458017	0.034830700967767	0.505506442001206	0.906712073701783	0.565606443698925	1.0068120802971	0.0601000016977196	0.100100006595312
seeghahvah	seeghahvah	48	0.531147576613256	0.93444779680777	0.0154745938968983	0.0298893097660449	0.50560644199868	0.903273329000513	0.565606441996351	1.00333999570285	0.0599999999976717	0.100066666702332
seeghahvoo	seeghahvoo	98	0.531032558525862	0.921062709293559	0.0162335546147925	0.029652686143199	0.50550644199393	0.885232809698209	0.565606441996351	0.993899479704851	0.0601000000024214	0.108666670006642
seegheetoo	seegheetoo	56	0.505080495018705	0.93882689151077	0.0155732576475058	0.0297093345877845	0.478539614698093	0.906712076997792	0.538572948004003	1.00677874370012	0.0600333333059098	0.100066666702332
seeghootah	seeghootah	104	0.514496573104575	0.931514170363453	0.0173978545127263	0.0278909616046191	0.488184073299635	0.902347824696335	0.588250740001968	1.00244782469963	0.100066666702332	0.100100000003295
seesahtee	seesahtee	54	0.463319284340896	0.929577692973178	0.0173355303768829	0.0311358550350557	0.440517397597432	0.899397818997386	0.500550730997929	0.99949781900068	0.0600333334004972	0.100100000003295
seesooghah	seesooghah	58	0.473691811901935	0.999215798606498	0.0171420276775066	0.0318568831587702	0.446260264398006	0.965506441993057	0.506326932700176	1.06557311199867	0.06006666830217	0.100066670005617
seesooghoo	seesooghoo	47	0.471661745662883	0.977384797684428	0.0169498561835475	0.0312056742547065	0.446260264296143	0.9481507399978	0.506326931004878	1.04821740670013	0.0600666667087353	0.100066666702332
seetahghoo	seetahghoo	60	0.468782852781553	0.979845654980035	0.0159505419604406	0.029537848303567	0.442447822999384	0.948150736701791	0.502481158000592	1.04821740670013	0.0600333350012079	0.100066669998341
seetahvoo	seetahvoo	57	0.46738591977867	0.927368527045668	0.0172095198645363	0.040520048654975	0.442414491299132	0.865266146298381	0.502481158000592	1.1237661464038	0.0600666667014593	0.258500000105414
seeteetah	seeteetah	51	0.468713608349701	0.938294315638933	0.0175854135520689	0.0341958495959991	0.439464487404621	0.90244782800437	0.49949781900068	1.00244782469963	0.0600333315960597	0.0999999966952601
seetooghah	seetooghah	61	0.473997632390334	0.997301523701443	0.0156865500092321	0.0289634425014828	0.446745408698916	0.965473108699371	0.506778743700124	1.06557310870267	0.0600333350012079	0.100100000003295
seetoovah	seetoovah	56	0.47284898170143	0.939137571355299	0.0170264818330592	0.0399435029965607	0.446778743600589	0.903273329000513	0.506812077001086	1.10333999570139	0.0600333334004972	0.200066666700877
seevahghee	seevahghee	56	0.47112579810766	0.972409367633759	0.0170086803712275	0.032593017964633	0.443306662302348	0.938506281308946	0.503373330699105	1.03853961799905	0.0600666683967574	0.100033336690103
seevahghoo	seevahghoo	39	0.474402276065839	0.974135424053915	0.0323560517307597	0.0271215868806214	0.443339995705173	0.948184073298762	0.603273328997602	1.04821738669852	0.159933333292429	0.100033313399763
seevahtoo	seevahtoo	45	0.466980904222344	0.933024479009091	0.0172631884363246	0.028371981051098	0.443273325698101	0.906712076997792	0.503339995702845	1.00677873369568	0.0600666700047441	0.100066656697891
seeveeghoo	seeveeghoo	56	0.469613298334676	0.982551952003138	0.021172618621067	0.0350076114822443	0.38639269239502	0.9481507399978	0.506359360697388	1.06821740669693	0.119966668302368	0.120066666699131
seevooghah	seevooghah	41	0.456445007788538	0.991889368173583	0.0174980033830954	0.0243685437131901	0.425332812999841	0.965506435299176	0.513899479701649	1.06557308870106	0.0885666667018086	0.100066653401882
sooghahtah	sooghahtah	37	0.518969034723601	0.920084702989594	0.0144507509532466	0.0217243166276104	0.499212844406429	0.896054227006971	0.559246172699204	0.996120883697586	0.060033328292775	0.100066656690615
